unit;month;geo;year;value
NR;M01;DE_TOT;2014;75520
NR;M01;DE_TOT;2013;82262
NR;M01;DE_TOT;2012;76895
NR;M01;DE_TOT;2011;76780
NR;M01;DE_TOT;2010;77390
NR;M01;DE_TOT;2009;90026
NR;M01;DE_TOT;2008;79537
NR;M01;DE_TOT;2007;72665
NR;M01;DE_TOT;2006;74230
NR;M01;DE_TOT;2005;73561
NR;M01;DE_TOT;2004;75332
NR;M01;DE_TOT;2003;79116
NR;M01;DE_TOT;2002;69682
NR;M01;DE_TOT;2001;74828
NR;M01;DE_TOT;2000;83841
NR;M01;DE_TOT;1999;78743
NR;M01;DE_TOT;1998;74667
NR;M01;DE_TOT;1997;83490
NR;M01;DE_TOT;1996;94684
NR;M01;DE_TOT;1995;79171
NR;M01;DE_TOT;1994;82514
NR;M01;DE_TOT;1993;81535
NR;M01;DE_TOT;1992;81761
NR;M01;DE_TOT;1991;80593
NR;M01;DE_TOT;1990;93601
NR;M01;DE_TOT;1989;80056
NR;M01;DE_TOT;1988;77200
NR;M01;DE_TOT;1987;83281
NR;M01;DE_TOT;1986;80415
NR;M01;DE_TOT;1985;90449
NR;M01;DE_TOT;1984;80635
NR;M01;DE_TOT;1983;83872
NR;M01;DE_TOT;1982;87193
NR;M01;DE_TOT;1981;83176
NR;M01;DE_TOT;1980;85543
NR;M01;DE_TOT;1979;87147
NR;M01;DE_TOT;1978;85708
NR;M01;DE_TOT;1977;82841
NR;M01;DE_TOT;1976;82558
NR;M01;DE_TOT;1975;94329
NR;M01;DE_TOT;1974;83779
NR;M01;DE_TOT;1973;99784
NR;M01;DE_TOT;1972;93118
NR;M01;DE_TOT;1971;89124
NR;M01;DE_TOT;1970;115798
NR;M01;DE_TOT;1969;87963
NR;M01;DE_TOT;1968;93572
NR;M01;DE_TOT;1967;81055
NR;M01;DE_TOT;1966;85955
NR;M01;DE_TOT;1965;83082
NR;M01;DE_TOT;1964;81542
NR;M01;DE_TOT;1963;88358
NR;M01;DE_TOT;1962;85792
NR;M01;DE_TOT;1961;79924
NR;M01;DE_TOT;1960;85232
NR;M01;DK;2019;4991
NR;M01;DK;2018;5004
NR;M01;DK;2017;4908
NR;M01;DK;2016;4739
NR;M01;DK;2015;4845
NR;M01;DK;2014;4594
NR;M01;DK;2013;5400
NR;M01;DK;2012;4810
NR;M01;DK;2011;4996
NR;M01;DK;2010;4933
NR;M01;DK;2009;5741
NR;M01;DK;2008;5284
NR;M01;DK;2007;4931
NR;M01;DK;2006;5130
NR;M01;DK;2005;4934
NR;M01;DK;2004;5613
NR;M01;DK;2003;5492
NR;M01;DK;2002;5478
NR;M01;DK;2001;5338
NR;M01;DK;2000;5834
NR;M01;DK;1999;5649
NR;M01;DK;1998;5384
NR;M01;DK;1997;5903
NR;M01;DK;1996;6434
NR;M01;DK;1995;5680
NR;M01;DK;1994;5862
NR;M01;DK;1993;5683
NR;M01;DK;1992;5363
NR;M01;DK;1991;5457
NR;M01;DK;1990;6332
NR;M01;DK;1989;5438
NR;M01;DK;1988;5125
NR;M01;DK;1987;5540
NR;M01;DK;1986;5309
NR;M01;DK;1985;5573
NR;M01;DK;1984;5065
NR;M01;DK;1983;4750
NR;M01;DK;1982;5016
NR;M01;DK;1981;5212
NR;M01;DK;1980;5043
NR;M01;DK;1979;5006
NR;M01;DK;1978;4644
NR;M01;DK;1977;4643
NR;M01;DK;1976;4512
NR;M01;DK;1975;4451
NR;M01;DK;1974;4547
NR;M01;DK;1973;4572
NR;M01;DK;1972;4819
NR;M01;DK;1971;4266
NR;M01;DK;1970;5013
NR;M01;DK;1969;4423
NR;M01;DK;1968;5097
NR;M01;DK;1967;4396
NR;M01;DK;1966;4362
NR;M01;DK;1965;4339
NR;M01;DK;1964;4280
NR;M01;DK;1963;4133
NR;M01;DK;1962;4371
NR;M01;DK;1961;3937
NR;M01;DK;1960;3832
NR;M01;EA18;2019;335201
NR;M01;EA18;2018;339289
NR;M01;EA18;2017;378654
NR;M01;EA18;2016;303045
NR;M01;EA18;2015;339131
NR;M01;EA18;2014;294198
